---------------------------------------------------------------------------------------------
  Solved problems
---------------------------------------------------------------------------------------------
+ Volume 1 ----------------------------------------------------------------------------------
    10940 - Throwing Cards Away II        |  C++  |
    10949 - Kids in a Grid                |  C++  | Hunt-Szymanski algorithm (LCS)
    10970 - Big Chocolate                 |  C++  |
+ Others ------------------------------------------------------------------------------------
      713 - Adding Reversed Numbers       |  C++  |
      762 - We Ship Cheap                 |   C   | 
      847 - A Multiplication Game         |  C++  | 
     1124 - Celebrity jeopardy            |   C   | 
    10287 - Gifts in a Hexagonal Box      |       | 
    10405 - Longest Common Subsequence    |  C++  | Longest common subsequence 
    10410 - Tree Reconstruction           |   C   | 
    10420 - List of Conquests             |  C++  |
    10432 - Polygon Inside a Circle       |       | 
    10433 - Automorphic Numbers           |       | 
    10469 - To Carry or not to Carry      |  C++  |
    10487 - Closest Sums                  |   C   |
    10515 - Power Et Al.                  |       | 
    10550 - Combination Lock              |   C   |
    10696 - f91                           |   C   |
    10783 - Odd Sum                       |   C   |
    10812 - Beat the Spread!              |  C++  |
    10878 - Decode the Tape               |       | 
    11045 - My T-Shirt Suits Me           |       | 
    11150 - Cola                          |  C++  |
    11172 - Relational Operator           |   C   |
    11183 - Teen Girl Squad               |   C   | Chu–Liu/Edmonds' algorithm   
    11294 - Wedding                       |   C   | 2-SAT
    11462 - Age Sort                      |  C++  |
    11498 - Division of Nlogonia          |   C   |
    11636 - Hello World!                  |  C++  |
    11727 - Cost Cutting                  |   C   |
    11854 - Egypt                         |  C++  |
    11946 - Code Number                   |   C   |
    12160 - Unlock the Lock               |  C++  |
    12442 - Forwarding Emails             |   C   |
    12468 - Zapping                       |  C++  |
    12650 - Dangerous Dive                |   C   |
---------------------------------------------------------------------------------------------
